Description,Amount,Price,Image URL,Category
The Cake Stall Date and Walnut Loaf,450g,$3.69,https://www.aldi.com.au/fileadmin/_processed_/1/4/csm_1002781_REDUCTIONS_R44_OCT28_13_6a_RET_147176bc7e.jpg,Bakery
Mamia Unisex Night Pants,10pk/9pk,$10.99,https://www.aldi.com.au/fileadmin/_processed_/8/6/csm_1002781_REDUCTIONS_R41_SEP24_17_6a_RET_9a56a5cd05.jpg,Miscellaneous
Mamia Fruit & Oat Bars,90g,$2.59,https://www.aldi.com.au/fileadmin/_processed_/a/a/csm_1002781_REDUCTIONS_R29_JUL10_01_1x1_1a_RET_76febe085b.jpg,Miscellaneous
Mamia Unisex Nappy Pants - Walker,,$9.99,https://www.aldi.com.au/fileadmin/_processed_/8/c/csm_1002781_REDUCTIONS_R29_JUL10_05_1x1_2a_RET_16cc65fc90.jpg,Miscellaneous
Mamia Unisex Nappy Pants - Junior,,$9.99,https://www.aldi.com.au/fileadmin/_processed_/9/2/csm_1002781_REDUCTIONS_R29_JUL10_07_1x1_3a_RET_2d12b31b02.jpg,Miscellaneous
Mamia Baby Water Wipes,80pk,$2.49,https://www.aldi.com.au/fileadmin/_processed_/3/2/csm_1002781_REDUCTIONS_R29_JUL10_09_1x1_4a_RET_f36bf709c1.jpg,Miscellaneous
Blackstone Paddock Barossa Valley Shiraz,750ml,$17.99,https://www.aldi.com.au/fileadmin/_processed_/8/0/csm_1002781_REDUCTIONS_R26_01_1x1_1a_RET_976cf1449d.jpg,Miscellaneous
Tricare Antibacterial Foaming Hand Wash,250ml,$2.39,https://www.aldi.com.au/fileadmin/_processed_/8/c/csm_1002781_REDUCTIONS_R45_NOV11_13_3a_RET_3d5e9ffe76.jpg,Miscellaneous
Essential Health Electrolyte,,$6.89,https://www.aldi.com.au/fileadmin/_processed_/c/3/csm_1002781_REDUCTIONS_R43_OCT11_1_1a_RET_4ed2845729.jpg,Miscellaneous
LACURA® Essentials Make Up Cotton Rounds,80pk,$1.29,https://www.aldi.com.au/fileadmin/_processed_/d/0/csm_1002781_REDUCTIONS_R40_SEP19_9_5a_RET_0ab7145148.jpg,Miscellaneous
Essential Health Vitamins Glucosamine,60pk,$7.99,https://www.aldi.com.au/fileadmin/_processed_/8/1/csm_1002153_REDUCTIONS_R58_1x1_228x128_5_RET_6d6a1e02bc.png,Miscellaneous
So Femme Ultra Thin Pads,14pk/12pk/10pk,$1.79,https://www.aldi.com.au/fileadmin/_processed_/4/7/csm_1002153_REDUCTIONS_R59_1x1_228x128_1_RET_b6ebc9136d.png,Miscellaneous
So Femme Boxed Liners,48pk/30pk,$1.89,https://www.aldi.com.au/fileadmin/_processed_/7/5/csm_1002153_REDUCTIONS_R59_1x1_228x128_2_RET_812ed1675d.png,Miscellaneous
Tricare ®  Family Soap,8pk,$4.19,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_1002781_REDUCTIONS_R37_SEP02_11_1x1_7a_RET_6fae3a58f5.jpg,Miscellaneous
Prince Maximum 3 Blade Disposable Razors,8pk,$4.69,https://www.aldi.com.au/fileadmin/_processed_/3/6/csm_1002781_REDUCTIONS_R37_SEP02_13_1x1_8a_RET_cce442799e.jpg,Miscellaneous
Almat Laundry Liquid Concentrate,4L,$9.99,https://www.aldi.com.au/fileadmin/_processed_/a/e/csm_1002781_REDUCTIONS_R46_13_3a_RET_5f6b7204f4.jpg,Miscellaneous
Di San Laundry Sanitiser,1L,$4.19,https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_1002781_REDUCTIONS_R46_19_4a_RET_169e483412.jpg,Miscellaneous
Power Force Pro Household Wipes,50pk,$1.99,https://www.aldi.com.au/fileadmin/_processed_/5/4/csm_1002781_REDUCTIONS_R46_25_5a_RET_62572a52c7.jpg,Miscellaneous
Purewick Air Freshener Automatic Refill,185g,$3.99,https://www.aldi.com.au/fileadmin/_processed_/1/0/csm_1002781_REDUCTIONS_R46_31_6a_RET_5b9949c0cf.jpg,Miscellaneous
Goliath Snack Bags,65pk,$1.79,https://www.aldi.com.au/fileadmin/_processed_/4/b/csm_1002781_REDUCTIONS_R45_NOV11_19_4a_RET_362badef0f.jpg,Miscellaneous
Activ Energy AA Alkaline Batteries,10pk,$4.99,https://www.aldi.com.au/fileadmin/_processed_/d/e/csm_1002781_REDUCTIONS_R44_OCT28_1_1a_RET_453a0df08c.jpg,Miscellaneous
Activ Energy AAA Alkaline Batteries,14pk,$5.99,https://www.aldi.com.au/fileadmin/_processed_/5/0/csm_1002781_REDUCTIONS_R44_OCT28_3_2a_RET_63f4f81f48.jpg,Miscellaneous
